ticker,sector,bloomberg_sector
LYB,Materials,S5MATR
CRH,Materials,S5MATR
MOS,Materials,S5MATR
SW,Materials,S5MATR
DOW,Materials,S5MATR
CF,Materials,S5MATR
ECL,Materials,S5MATR
FCX,Materials,S5MATR
IFF,Materials,S5MATR
AMCR,Materials,S5MATR
CTVA,Materials,S5MATR
MLM,Materials,S5MATR
NEM,Materials,S5MATR
STLD,Materials,S5MATR
DD,Materials,S5MATR
NUE,Materials,S5MATR
IRM,Real Estate,S5RLST
MAA,Real Estate,S5RLST
AMT,Real Estate,S5RLST
BXP,Real Estate,S5RLST
CSGP,Real Estate,S5RLST
PLD,Real Estate,S5RLST
CPT,Real Estate,S5RLST
ESS,Real Estate,S5RLST
CCI,Real Estate,S5RLST
PSA,Real Estate,S5RLST
O,Real Estate,S5RLST
VTR,Real Estate,S5RLST
WY,Real Estate,S5RLST
EQIX,Real Estate,S5RLST
DLR,Real Estate,S5RLST
CBRE,Real Estate,S5RLST
EXR,Real Estate,S5RLST
VICI,Real Estate,S5RLST
FRT,Real Estate,S5RLST
WELL,Real Estate,S5RLST
SBAC,Real Estate,S5RLST
DOC,Real Estate,S5RLST
KIM,Real Estate,S5RLST
INVH,Real Estate,S5RLST
EQR,Real Estate,S5RLST
UDR,Real Estate,S5RLST
SPG,Real Estate,S5RLST
AVB,Real Estate,S5RLST
REG,Real Estate,S5RLST
HST,Real Estate,S5RLST
ARE,Real Estate,S5RLST
